iter	Passed	Remaining
354	102165	2775746
355	102489	2776418
356	102810	2777037
357	103141	2777917
358	103429	2777621
359	103774	2778848
360	104101	2779608
361	104416	2780026
362	104689	2779312
363	104937	2777971
364	105262	2778652
365	105587	2779323
366	105841	2778124
367	106071	2776315
368	106320	2775006
369	106606	2774656
370	106887	2774167
371	107164	2773592
372	107433	2772826
373	107758	2773497
374	108052	2773341
375	108309	2772252
376	108619	2772535
377	108874	2771403
378	109150	2770816
379	109423	2770150
380	109727	2770261
381	110029	2770320
382	110330	2770373
383	110678	2771576
384	111010	2772371
385	111309	2772363
386	111618	2772585
387	111897	2772057
388	112197	2772063
389	112475	2771514
390	112728	2770359
391	112992	2769480
392	113246	2768350
393	113520	2767700
394	113844	2768303
395	114175	2769043
396	114463	2768759
397	114733	2768019
398	114979	2766715
399	115245	2765902
400	115528	2765491
401	115824	2765386
402	116174	2766568
403	116520	2767654
404	116774	2766542
405	117051	2765983
406	117419	2767570
407	117711	2767372
408	117961	2766175
409	118255	2766013
410	118521	2765213
411	118761	2763795
412	119031	2763084
413	119367	2763896
414	119717	2765033
415	120029	2765291
416	120348	2765700
417	120627	2765202
418	120888	2764276
419	121176	2763972
420	121396	2762127
421	121675	2761620
422	121980	2761710
423	122266	2761376
424	122542	2760821
425	122810	2760063
426	123118	2760207
427	123408	2759978
428	123637	2758356
429	123931	2758187
430	124174	2756898
431	124508	2757638
432	124791	2757218
433	125070	2756734
434	125348	2756232
435	125634	2755897
436	125892	2754951
437	126130	2753561
438	126419	2753299
439	126685	2752540
440	126938	2751493
441	127241	2751529
442	127518	2751013
443	127801	2750614
444	128077	2750067
445	128395	2750424
446	128682	2750121
447	128955	2749506
448	129330	2751078
449	129605	2750510
450	129886	2750078
451	130129	2748845
452	130432	2748882
453	130730	2748797
454	131055	2749290
455	131325	2748616
456	131643	2748957
457	131989	2749886
458	132319	2750466
459	132604	2750096
460	132889	2749754
461	133170	2749306
462	133468	2749218
463	133759	2748993
464	134073	2749217
465	134381	2749337
466	134667	2748999
467	134949	2748593
468	135246	2748469
469	135486	2747204
470	135722	2745863
471	136025	2745861
472	136277	2744846
473	136590	2745070
474	136824	2743685
475	137087	2742893
476	137361	2742335
477	137663	2742323
478	137941	2741846
479	138230	2741569
480	138503	2740991
481	138829	2741448
482	139093	2740680
483	139395	2740685
484	139695	2740633
485	139933	2739353
486	140213	2738914
487	140571	2739984
488	140868	2739869
489	141180	2740052
490	141421	2738854
491	141671	2737829
492	141959	2737534
493	142277	2737827
494	142574	2737724
495	142837	2736954
496	143129	2736739
497	143370	2735563
498	143642	2734957
499	143973	2735495
500	144268	2735351
501	144518	2734327
502	144810	2734128
503	145124	2734334
504	145411	2734021
505	145642	2732675
506	145918	2732165
507	146238	2732472
508	146514	2731954
509	146801	2731651
510	147067	2730963
511	147337	2730342
512	147685	2731180
513	147974	2730898
514	148238	2730187
515	148507	2729553
516	148776	2728918
517	149072	2728783
518	149316	2727683
519	149583	2727024
520	149814	2725708
521	150114	2725645
522	150396	2725247
523	150720	2725622
524	151025	2725659
525	151261	2724437
526	151498	2723242
527	151804	2723278
528	152055	2722348
529	152348	2722153
530	152607	2721364
531	152901	2721183
532	153170	2720579
533	153480	2720692
534	153803	2721031
535	154067	2720328
536	154424	2721266
537	154717	2721067
538	155023	2721110
539	155256	2719861
540	155563	2719911
541	155888	2720290
542	156193	2720299
543	156554	2721292
544	156855	2721226
545	157180	2721578
546	157453	2721045
547	157721	2720410
548	158009	2720129
549	158304	2719956
550	158540	2718778
551	158921	2720083
552	159187	2719430
553	159449	2718696
554	159760	2718808
555	159996	2717641
556	160263	2716999
557	160566	2716970
558	160890	2717295
559	161162	2716747
560	161464	2716693
561	161823	2717595
562	162063	2716499
563	162333	2715917
564	162622	2715655
565	162940	2715872
566	163188	2714914
567	163482	2714738
568	163735	2713870
569	164012	2713398
570	164314	2713339
571	164640	2713689
572	164922	2713301
573	165203	2712902
574	165451	2711968
575	165699	2711031
576	166039	2711599
577	166282	2710570
578	166554	2710042
579	166798	2709037
580	167080	2708662
581	167343	2707967
582	167635	2707764
583	167931	2707611
584	168225	2707418
585	168479	2706595
586	168738	2705853
587	169070	2706276
588	169332	2705576
589	169641	2705635
590	169948	2705659
591	170235	2705357
592	170493	2704603
593	170812	2704825
594	171101	2704556
595	171359	2703795
596	171633	2703297
597	171919	2702983
598	172183	2702336
599	172484	2702264
600	172761	2701812
601	173082	2702044
602	173352	2701478
603	173603	2700630
604	173895	2700418
605	174210	2700552
606	174518	2700579
607	174762	2699621
608	175051	2699356
609	175373	2699600
610	175704	2699987
611	175987	2699621
612	176310	2699879
